Summary of Changes
Budget changes,0
Bid changes,0
Status changes,33

Records
Time,Object Type,Object ID,Object Name,Operator,Source,App ID,Activity Details
2025-03-13 07:07,Ad,T1826461410898994,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad group,T1826461410066482,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Review Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461410222098,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461410886706,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461410881554,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461410214978,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461410208786,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461410893842,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461410228274,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112078353,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad group,T1826461112047633,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Review Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112240306,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112052817,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112060017,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112084529,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112235026,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112067089,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:07,Ad,T1826461112072241,Review Status,TikTok For Business,Platform-generated Change,--,"2025-03-13 07:07: Status changed from b'In review' to b'Approved'"
2025-03-13 07:02,Campaign,T1826461409574001,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Campaign changed from Enabled to Paused"
2025-03-13 07:02,Ad group,T1826461410066482,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Campaign changed from Enabled to Paused"
2025-03-13 07:02,Ad,T1826461410222098,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 07:02,Ad,T1826461410881554,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 07:02,Ad,T1826461410898994,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 07:02,Ad group,T1826461410066482,Ad group,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad group"
2025-03-13 07:02,Ad,T1826461410893842,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 07:02,Campaign,T1826461409574001,Campaign,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Campaign"
2025-03-13 07:02,Ad,T1826461410208786,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 07:02,Ad,T1826461410886706,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 07:02,Ad,T1826461410214978,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 07:02,Ad,T1826461410228274,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 07:02: Create Ad"
2025-03-13 06:58,Ad,T1826461112052817,Settings,x**********g@7road.com,Desktop,--,"2025-03-13 06:58: Ad name changed from b'GZS063_\\\\xe7\\\\xa5\\\\x9e\\\\xe6\\\\x9b\\\\xb2-\\\\xe6\\\\xb5\\\\xb7\\\\xe5\\\\xa4\\\\x96_\\\\xe8\\\\xa7\\\\x86\\\\xe8\\\\xa7\\\\x89\\\\xe7\\\\x94\\\\xbb\\\\xe9\\\\x9d\\\\xa2_\\\\xe6\\\\x88\\\\x98\\\\xe6\\\\x96\\\\x97\\\\xe7\\\\x94\\\\xbb\\\\xe9\\\\x9d\\\\xa2_\\\\xe7\\\\xab\\\\x96_\\\\xe8\\\\xb0\\\\xa2\\\\xe4\\\\xb9\\\\x94\\\\xe8\\\\x88\\\\x9c.mp4_GZS063_\\\\xe7\\\\xa5\\\\x9e\\\\xe6\\\\x9b\\\\xb2-\\\\xe6\\\\xb5\\\\xb7\\\\xe5\\\\xa4\\\\x96_\\\\xe8\\\\xa7\\\\x86\\\\xe8\\\\xa7\\\\x89\\\\xe7\\\\x94\\\\xbb\\\\xe9\\\\x9d\\\\xa2_\\\\xe6\\\\x88\\\\x98\\\\xe6\\\\x96\\\\x97\\\\xe7\\\\x94\\\\xbb\\\\xe9\\\\x9d\\\\xa2_\\\\xe7\\\\xab\\\\x96_\\\\xe8\\\\xb0\\\\xa2\\\\xe4\\\\xb9\\\\x94\\\\xe8\\\\x88\\\\x9c.mp4' to b'GZS063_\\\\xe7\\\\xa5\\\\x9e\\\\xe6\\\\x9b\\\\xb2-\\\\xe6\\\\xb5\\\\xb7\\\\xe5\\\\xa4\\\\x96_\\\\xe8\\\\xa7\\\\x86\\\\xe8\\\\xa7\\\\x89\\\\xe7\\\\x94\\\\xbb\\\\xe9\\\\x9d\\\\xa2_\\\\xe6\\\\x88\\\\x98\\\\xe6\\\\x96\\\\x97\\\\xe7\\\\x94\\\\xbb\\\\xe9\\\\x9d\\\\xa2_\\\\xe7\\\\xab\\\\x96_\\\\xe8\\\\xb0\\\\xa2\\\\xe4\\\\xb9\\\\x94\\\\xe8\\\\x88\\\\x9c.mp4'"
2025-03-13 06:58,Campaign,T1826461112047617,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-13 06:58: Campaign changed from Enabled to Paused"
2025-03-13 06:58,Ad group,T1826461112047633,On/Off Status,x**********g@7road.com,Desktop,--,"2025-03-13 06:58: Campaign changed from Enabled to Paused"
2025-03-13 06:57,Campaign,T1826461112047617,Campaign,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Campaign"
2025-03-13 06:57,Ad,T1826461112084529,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
2025-03-13 06:57,Ad,T1826461112235026,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
2025-03-13 06:57,Ad group,T1826461112047633,Ad group,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad group"
2025-03-13 06:57,Ad,T1826461112078353,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
2025-03-13 06:57,Ad,T1826461112052817,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
2025-03-13 06:57,Ad,T1826461112072241,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
2025-03-13 06:57,Ad,T1826461112240306,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
2025-03-13 06:57,Ad,T1826461112067089,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
2025-03-13 06:57,Ad,T1826461112060017,Ad,x**********g@7road.com,Desktop,--,"2025-03-13 06:57: Create Ad"
